	amicus	argDate	argMonth	argYear	caseName	cutoffs_ALL	cutoffs_BREYER	cutoffs_GINSBURG	cutoffs_KENNEDY	cutoffs_ROBERTS	cutoffs_SCALIA	decDate	majVotes	minVotes	winner	words_BREYER	words_GINSBURG	words_KENNEDY	words_ROBERTS	words_SCALIA
05-1631	1	2007-02-26	02	2007	TIMOTHY SCOTT v. VICTOR HARRIS	6.0	0.5555555555555556	-0.5	0.09090909090909091	0.3333333333333333	0.5	2007-04-30	8	1	1	0.25894378194207834	-0.42105263157894735	0.10535405872193437	0.19615384615384615	0.285140562248996
05-18	1	2006-04-19	04	2006	ARLINGTON CENTRAL SCHOOL DISTRICT BOARD OF EDUCATION v. PEARL MURPHY ET VIR	2.0	-0.5	0.6	0.14285714285714285	0.7142857142857143	0.8333333333333334	2006-06-26	6	3	1	-0.6867088607594937	0.21715817694369974	-0.032679738562091505	0.6453608247422681	0.3299101412066752
05-184	0	2006-03-28	03	2006	SALIM AHMED HAMDAN v. DONALD H. RUMSFELD, SECRETARY OF DEFENSE, et al.	22.0	0.6	0.5	-0.5294117647058824	0.0	0.0	2006-06-29	5	3	1	0.8881491344873502	0.5799373040752351	-0.30735930735930733	0.0	-0.36387434554973824
05-200	1	2006-04-25	04	2006	EMPIRE HEALTHCHOICE ASSURANCE, INC., DBA EMPIRE BLUE CROSS BLUE SHIELD v. DENISE F. MCVEIGH, AS ADMINISTRATRIX OF THE ESTATE OF JOSEPH E. MCVEIGH	-16.0	-0.16666666666666666	-1.0	1.0	-0.6666666666666666	-0.8823529411764706	2006-06-15	5	4	0	0.4170755642787046	-0.8053435114503816	0.07692307692307693	-0.7157275021026073	-0.45579793340987373
05-204	0	2006-03-01	03	2006	LEAGUE OF UNITED LATIN AMERICAN CITIZENS, et al. v. RICK PERRY, GOVERNOR OF TEXAS, et al.	-21.0	-0.1111111111111111	-1.0	-0.375	-0.44	-0.6666666666666666	2006-06-28	5	4	1	0.3564245810055866	-1.0	-0.2527659574468085	-0.5651577503429356	-0.7721854304635761
05-259	-1	2006-04-17	04	2006	BURLINGTON NORTHERN & SANTA FE RAILWAY COMPANY v. SHEILA WHITE	14.0	0.5	-0.3333333333333333	0.0	1.0	0.6470588235294118	2006-06-22	9	0	0	0.0745697896749522	-0.4117647058823529	-1.0	0.8065693430656934	0.2682926829268293
05-260	-1	2006-03-28	03	2006	JOEL SEREBOFF, ET UX. v. MID ATLANTIC MEDICAL SERVICES, INC.	-13.0	-0.75	-1.0	0.0	0.5	0.14285714285714285	2006-05-15	9	0	0	0.014354066985645933	-0.3488372093023256	0.056179775280898875	0.3667953667953668	-0.19646799116997793
05-352	0	2006-04-18	04	2006	UNITED STATES v. CUAUHTEMOC GONZALEZ-LOPEZ	-1.0	0.0	-1.0	0.2857142857142857	0.8181818181818182	-0.23076923076923078	2006-06-26	5	4	0	0.0	-0.1407035175879397	0.07719928186714542	0.4859335038363171	-0.5212527964205816
05-380	0	2006-11-08	11	2006	ALBERTO R. GONZALES, ATTORNEY GENERAL v. LEROY CARHART, et al.	-8.0	-0.2	-1.0	1.0	1.0	0.0	2007-04-18	5	4	1	-0.3476027397260274	-0.3471264367816092	0.39622641509433965	0.7550335570469798	-1.0
05-381	1	2006-11-28	11	2006	WEYERHAEUSER COMPANY V.ROSS-SIMMONS HARDWOOD LUMBER COMPANY, INC.	3.0	1.0	1.0	-1.0	-0.5	0.2	2007-02-20	9	0	1	1.0	-0.011583011583011582	-1.0	-0.1565217391304348	-0.735593220338983
05-409	0	2006-04-24	04	2006	CARL KIRCHER, et al. v. PUTNAM FUNDS TRUST et al.	10.0	0.16666666666666666	0.7142857142857143	1.0	0.6	-1.0	2006-06-15	9	0	1	-0.14712153518123666	0.5128983308042488	0.296969696969697	0.5859649122807018	-1.0
05-416	1	2006-03-22	03	2006	JEANNE S. WOODFORD, et al. v. VIET MIKE NGO	-11.0	0.25	-1.0	0.5	-0.6	0.5	2006-06-22	6	3	1	-0.09859154929577464	-0.5959595959595959	0.5066666666666667	-0.015873015873015872	0.9457364341085271
